word,category,frequency,length
the,function,69968,3
fulton,noun,17,6
county,noun,155,6
grand,adjective,45,5
jury,noun,67,4
said,verb,1961,4
friday,noun,60,6
an,function,3738,2
investigation,noun,51,13
of,function,36410,2
recent,adjective,179,6
primary,noun,96,7
election,noun,77,8
produced,verb,90,8
no,function,1819,2
evidence,noun,204,8
that,function,10537,4
any,function,1331,3
irregularities,noun,8,14
took,verb,426,4
place,noun,565,5
in,function,21333,2
city,noun,393,4
executive,adjective,55,9
committee,noun,168,9
which,function,3560,5
had,verb,5132,3
charge,noun,122,6
deserves,verb,16,8
praise,noun,17,6
and,function,28850,3
thanks,noun,37,6
atlanta,noun,35,7
for,function,9484,3
manner,noun,124,6
was,verb,9815,3
conducted,verb,55,9
term,noun,79,4
been,verb,2472,4
charged,verb,57,7
by,function,5244,2
superior,adjective,46,8
court,noun,230,5
judge,noun,77,5
to,function,26154,2
investigate,verb,11,11
reports,noun,84,7
possible,adjective,374,8
won,verb,68,3
allen,noun,20,5
a,function,23186,1
relative,adjective,46,8
handful,noun,13,7
such,adjective,1288,4
received,verb,163,8
considering,function,47,11
widespread,adjective,29,10
interest,noun,330,8
number,noun,472,6
voters,noun,20,6
size,noun,138,4
this,function,5144,4
it,function,8760,2
did,verb,1044,3
find,verb,400,4
many,adjective,1021,4
registration,noun,23,12
laws,noun,88,4
are,verb,4394,3
or,function,4205,2
inadequate,adjective,32,10
ambiguous,adjective,22,9
recommended,verb,46,11
legislators,noun,20,11
act,verb,283,3
have,verb,3942,4
these,function,1573,5
studied,verb,79,7
revised,verb,16,7
end,noun,409,3
improving,verb,16,9
them,function,1787,4
commented,verb,18,9
on,function,6739,2
other,adjective,1702,5
topics,noun,10,6
among,function,369,5
purchasing,verb,17,10
departments,noun,25,11
operated,verb,27,8
follow,verb,97,6
accepted,verb,96,8
practices,noun,53,9
best,adjective,297,4
both,function,730,4
governments,noun,61,11
merger,noun,21,6
proposed,verb,84,8
believes,verb,43,8
offices,noun,45,7
should,verb,888,6
be,verb,6375,2
combined,verb,40,8
achieve,verb,51,7
greater,adjective,188,7
efficiency,noun,50,10
reduce,verb,62,6
cost,noun,229,4
administration,noun,161,14
department,noun,225,10
is,verb,10108,2
lacking,verb,32,7
experienced,verb,53,11
clerical,adjective,9,8
personnel,noun,74,9
as,function,6148,2
result,noun,244,6
policies,noun,68,8
urged,verb,35,5
take,verb,610,4
steps,noun,119,5
remedy,verb,13,6
problem,noun,313,7
implementation,noun,8,14
automobile,noun,50,10
title,noun,77,5
law,noun,299,3
outgoing,adjective,8,8
next,adjective,346,4
legislature,noun,39,11
provide,verb,216,7
enabling,verb,13,8
funds,noun,95,5
effective,adjective,129,9
date,noun,103,4
so,function,480,2
orderly,adjective,20,7
may,verb,1401,3
effected,verb,12,8
at,function,5372,2
state,noun,807,5
welfare,noun,53,7
handling,noun,38,8
federal,adjective,246,7
granted,verb,56,7
child,noun,213,5
services,noun,139,8
foster,adjective,15,6
homes,noun,62,5
major,adjective,247,5
items,noun,72,5
general,adjective,498,7
assistance,noun,87,10
program,noun,393,7
but,function,4355,3
has,verb,2436,3
seen,verb,279,4
fit,adjective,75,3
distribute,verb,6,10
through,function,971,7
all,function,2758,3
counties,noun,35,8
with,function,7286,4
exception,noun,40,9
receives,verb,20,8
none,noun,108,4
money,noun,265,5
they,function,3620,4
realize,verb,69,7
proportionate,adjective,9,13
distribution,noun,85,12
might,verb,672,5
our,function,1252,3
populous,adjective,5,8
we,function,2652,2
feel,verb,216,4
future,noun,227,6
receive,verb,76,7
some,function,1594,4
portion,noun,62,7
available,adjective,245,9
failure,noun,89,7
do,verb,1363,2
will,verb,2245,4
continue,verb,107,8
burden,noun,44,6
taxpayers,noun,21,9
under,function,693,5
fire,noun,187,4
its,function,1858,3
appointment,noun,28,11
administrators,noun,5,14
fees,noun,29,4
compensation,noun,17,12
protected,verb,31,9
found,verb,536,5
incorporated,verb,13,12
into,function,1788,4
operating,verb,87,9
procedures,noun,61,10
recommendations,noun,22,15
previous,adjective,84,8
bar,noun,82,3
association,noun,132,11
interim,noun,11,7
citizens,noun,86,8
actions,noun,68,7
serve,verb,107,5
protect,verb,34,7
fact,noun,447,4
effect,noun,213,6
from,function,4370,4
undue,adjective,13,5
costs,noun,176,5
appointed,verb,42,9
elected,verb,33,7
servants,noun,22,8
criticisms,noun,11,10
regarding,function,40,9
new,adjective,1635,3
airport,noun,19,7
management,noun,91,10
takes,verb,86,5
eliminate,verb,26,9
political,adjective,258,9
influences,noun,14,10
elaborate,verb,32,9
added,verb,172,5
there,function,2164,5
periodic,adjective,9,8
surveillance,noun,6,12
pricing,verb,7,7
concessionaires,noun,7,15
purpose,noun,149,7
keeping,verb,60,7
prices,noun,61,6
reasonable,adjective,64,10
ask,verb,128,3
jail,noun,21,4
deputies,noun,13,8
matters,noun,64,7
additional,adjective,120,10
employed,verb,49,8
doctor,noun,100,6
medical,adjective,162,7
night,noun,411,5
weekend,noun,27,7
duty,noun,61,4
work,verb,762,4
officials,noun,62,9
pass,verb,89,4
legislation,noun,46,11
permit,verb,77,6
establishment,noun,52,13
fair,adjective,76,4
equitable,adjective,11,9
pension,noun,13,7
plan,noun,205,4
employes,noun,17,8
praised,verb,13,7
operation,noun,113,9
police,noun,155,6
tax,noun,201,3
office,noun,255,6
prison,noun,42,6
farms,noun,16,5
grady,noun,5,5
hospital,noun,110,8
health,noun,105,6
mayor,noun,38,5
william,noun,148,7
hartsfield,noun,5,10
filed,verb,33,5
suit,noun,48,4
divorce,noun,29,7
his,function,6994,3
wife,noun,228,4
pearl,noun,9,5
williams,noun,32,8
petition,noun,15,8
mental,adjective,43,6
cruelty,noun,13,7
couple,noun,122,6
married,verb,105,7
son,noun,163,3
berry,noun,9,5
daughter,noun,72,8
attorneys,noun,9,9
property,noun,156,8
settlement,noun,26,10
agreed,verb,81,6
listed,verb,44,6
occupation,noun,24,10
attorney,noun,65,8
age,noun,226,3
birth,noun,66,5
lived,verb,115,5
man,noun,1207,3
more,adjective,1002,4
than,function,1790,4
year,noun,656,4
home,noun,547,4
pelham,noun,5,6
aj,noun,118,2
henry,noun,83,5
brief,adjective,73,5
interlude,noun,5,9
since,function,599,5
career,noun,67,6
goes,verb,89,4
council,noun,103,7
present,adjective,313,7
he,function,9546,2
succeeded,verb,33,9
who,function,2252,3
became,verb,246,6
candidate,noun,34,9
after,function,1059,5
announced,verb,88,9
would,verb,2714,5
run,verb,212,3
georgia,noun,46,7
republicans,noun,29,11
getting,verb,164,7
strong,adjective,199,6
encouragement,noun,14,13
enter,verb,78,5
race,noun,103,4
top,adjective,204,3
official,noun,75,8
wednesday,noun,35,9
robert,noun,83,6
gop,noun,13,3
chairman,noun,67,8
meeting,noun,159,7
held,verb,264,4
tuesday,noun,58,7
blue,adjective,143,4
ridge,noun,18,5
brought,verb,253,7
enthusiastic,adjective,24,12
responses,noun,28,9
audience,noun,115,8
party,noun,216,5
james,noun,101,5
enthusiasm,noun,28,10
picking,verb,14,7
up,function,1890,2
rally,noun,10,5
savannah,noun,9,8
texas,noun,69,5
john,noun,362,4
tower,noun,13,5
featured,verb,8,8
speaker,noun,49,7
warned,verb,22,6
entering,verb,24,8
governor,noun,83,8
force,verb,227,5
petitions,noun,8,9
out,function,2088,3
voting,verb,30,6
precincts,noun,5,9
obtain,verb,42,6
signatures,noun,5,10
registered,verb,23,10
despite,function,104,7
warning,verb,44,7
unanimous,adjective,5,9
vote,noun,75,4
according,function,130,9
attended,verb,36,8
crowd,noun,53,5
asked,verb,398,5
whether,function,286,7
wanted,verb,226,6
wait,verb,94,4
make,verb,794,4
voted,verb,27,5
were,verb,3284,4
largest,adjective,53,7
face,verb,371,4
says,verb,200,4
before,function,855,6
making,verb,255,6
first,adjective,1031,5
alternative,adjective,34,11
courses,noun,61,7
must,verb,1012,4
taken,verb,281,5
per,function,370,3
cent,noun,155,4
each,function,877,4
sign,verb,94,4
requesting,verb,8,10
allowed,verb,86,7
names,noun,89,5
candidates,noun,38,10
ballot,noun,12,6
hold,verb,169,4
unit,noun,103,4
system,noun,416,6
platform,noun,72,8
sam,noun,79,3
highway,noun,40,7
public,adjective,438,6
relations,noun,102,9
director,noun,101,8
resigned,verb,9,8
garland,noun,9,7
campaign,noun,81,8
resignation,noun,7,11
expected,verb,187,8
time,noun,1598,4
rob,noun,19,3
assistant,noun,36,9
years,noun,949,5
gubernatorial,adjective,7,13
starts,verb,31,6
become,verb,359,6
coordinator,noun,5,11
byrd,noun,9,4
wind,verb,63,4
session,noun,80,7
monday,noun,68,6
head,verb,424,4
bond,noun,46,4
approved,verb,40,8
afternoon,noun,106,9
senate,noun,62,6
approve,verb,14,7
study,noun,246,5
allotted,verb,10,8
rural,adjective,54,5
urban,adjective,42,5
areas,noun,236,5
determine,verb,107,9
what,function,1908,4
adjustments,noun,20,11
made,verb,1122,4
vandiver,noun,6,8
traditional,adjective,78,11
visit,noun,109,5
chambers,noun,11,8
toward,function,386,6
mention,verb,50,7
issue,noun,152,5
priority,noun,18,8
item,noun,55,4
construction,noun,94,12
bonds,noun,47,5
learned,verb,117,7
being,verb,711,5
ready,adjective,143,5
worth,noun,94,5
reconstruction,noun,11,14
go,verb,626,2
courts,noun,50,6
friendly,adjective,61,8
test,noun,119,4
validity,noun,15,8
sales,noun,133,5
begin,verb,84,5
contracts,noun,24,9
let,verb,384,3
repair,noun,20,6
traveled,verb,22,8
highways,noun,16,8
source,noun,94,6
roads,noun,58,5
authority,noun,93,9
road,noun,197,4
revolving,verb,6,9
fund,noun,62,4
intends,verb,6,7
issued,verb,50,6
every,function,491,5
old,adjective,661,3
ones,noun,116,4
paid,verb,145,4
off,function,639,3
authorities,noun,39,11
opened,verb,131,6
battle,noun,87,6
against,function,625,7
issuance,noun,7,8
marvin,noun,9,6
told,verb,413,4
constitution,noun,49,12
consulted,verb,17,9
about,function,1260,5
plans,noun,113,5
offer,verb,80,5
resolution,noun,64,10
house,noun,591,5
action,noun,291,6
itself,function,304,6
day,noun,687,3
increase,noun,195,8
expense,noun,50,7
allowances,noun,25,10
sunday,noun,101,6
research,noun,171,8
done,verb,319,4
can,verb,1771,3
notice,noun,59,6
given,verb,376,5
sought,verb,55,6
while,function,680,5
technical,adjective,120,9
details,noun,57,7
worked,verb,128,6
seek,verb,69,4
set,verb,414,3
privilege,noun,18,9
similar,adjective,157,7
passed,verb,157,6
word,noun,274,4
offered,verb,83,7
pointed,verb,74,7
last,adjective,644,4
november,noun,74,8
rejected,verb,33,8
constitutional,adjective,25,14
amendment,noun,23,9
allow,verb,72,5
pay,noun,172,3
raises,noun,16,6
sessions,noun,26,8
veteran,adjective,27,7
jackson,noun,36,7
legislator,noun,7,10
back,verb,232,4
aid,noun,134,3
education,noun,214,9
something,noun,450,9
opposed,verb,41,7
past,noun,273,4
barber,noun,8,6
commerce,noun,58,8
asking,verb,67,6
endorse,verb,6,7
increased,verb,146,9
support,noun,180,7
provided,verb,132,8
expended,verb,12,8
members,noun,325,7
congressional,adjective,22,13
delegation,noun,11,10
washington,noun,206,10
like,verb,1292,4
see,verb,772,3
congressmen,noun,10,11
him,function,2619,3
tossed,verb,31,6
read,verb,174,4
event,noun,81,5
congress,noun,152,8
does,verb,485,4
board,noun,239,5
directed,verb,68,8
give,verb,389,4
teacher,noun,80,7
long,adjective,552,4
hot,adjective,130,3
controversy,noun,26,11
miller,noun,22,6
school,noun,493,6
superintendent,noun,17,14
policeman,noun,19,9
put,verb,437,3
i,function,5163,1
saw,verb,352,3
harry,noun,35,5
davis,noun,27,5
agriculture,noun,23,11
defeated,verb,15,8
felix,noun,30,5
bush,noun,14,4
principal,noun,92,9
democratic,adjective,109,10
votes,noun,20,5
got,verb,482,3
ordinary,noun,72,8
carey,noun,5,5
armed,verb,60,5
pistol,noun,27,6
stood,verb,212,5
polls,noun,10,5
insure,verb,24,6
order,noun,376,5
tom,noun,63,3
church,noun,348,6
smell,verb,34,5
drop,noun,59,4
liquor,noun,43,6
bit,noun,101,3
trouble,noun,134,7
leading,verb,68,7
quiet,adjective,76,5
marked,verb,85,6
anonymous,adjective,17,9
midnight,noun,23,8
phone,noun,54,5
calls,noun,69,5
veiled,verb,6,6
threats,noun,14,7
violence,noun,46,8
former,adjective,131,6
george,noun,129,6
shot,verb,113,4
himself,function,603,7
death,noun,277,5
march,noun,121,5
days,noun,384,4
post,noun,84,4
dispute,noun,34,7
during,function,585,6
telephone,noun,76,9
subjected,verb,24,9
scheduled,verb,38,9
local,adjective,288,5
feared,verb,14,6
carry,verb,88,5
gun,noun,118,3
promised,verb,45,8
sheriff,noun,20,7
good,adjective,793,4
promise,noun,45,7
everything,noun,185,10
went,verb,507,4
smooth,adjective,42,6
austin,noun,18,6
approval,noun,51,8
price,noun,108,5
abandoned,verb,25,9
seemed,verb,333,6
certain,adjective,312,7
thursday,noun,33,8
adamant,adjective,5,7
protests,noun,11,8
bankers,noun,15,7
daniel,noun,14,6
led,verb,132,3
fight,noun,98,5
measure,noun,91,7
watered,verb,7,7
down,function,893,4
rejection,noun,11,9
hearing,noun,76,7
revenue,noun,35,7
taxation,noun,11,8
rules,noun,85,5
subcommittee,noun,5,12
week,noun,275,4
questions,noun,140,9
appearing,verb,16,9
witnesses,noun,21,9
left,verb,480,4
little,adjective,715,6
doubt,noun,114,5
recommend,verb,25,9
passage,noun,49,7
termed,verb,15,6
conservative,adjective,31,12
estimate,noun,39,8
produce,verb,82,7
dollars,noun,97,7
help,verb,311,4
anticipated,verb,23,11
deficit,noun,12,7
current,adjective,104,7
fiscal,adjective,120,6
means,noun,310,5
enforcing,verb,5,9
books,noun,96,5
republic,noun,43,8
permits,verb,27,7
over,function,1236,4
bank,noun,83,4
accounts,noun,38,8
stocks,noun,18,6
personal,adjective,196,8
persons,noun,121,7
missing,verb,33,7
bill,noun,143,4
drafted,verb,5,7
banks,noun,37,5
insurance,noun,46,9
firms,noun,55,5
pipeline,noun,6,8
companies,noun,87,9
corporations,noun,25,12
report,verb,174,6
treasurer,noun,14,9
cannot,verb,258,6
enforced,verb,20,8
because,function,712,7
impossible,adjective,84,10
locate,verb,16,6
declared,verb,66,8
lawrence,noun,39,8
lawyer,noun,43,6
representing,verb,30,12
sounded,verb,35,7
opposition,noun,46,10
violate,verb,7,7
their,function,2668,5
contractual,adjective,7,11
obligations,noun,21,11
undermine,verb,8,9
confidence,noun,56,10
customers,noun,40,9
if,function,2197,2
you,function,3286,3
destroy,verb,48,7
economy,noun,79,7
circulation,noun,16,11
millions,noun,49,8
charles,noun,96,7
hughes,noun,27,6
sherman,noun,29,7
sponsor,noun,22,7
enact,verb,7,5
amount,verb,172,6
gift,noun,33,4
pockets,noun,17,7
contention,noun,9,10
denied,verb,47,6
several,adjective,377,7
including,function,171,9
scott,noun,16,5
hudson,noun,53,6
jones,noun,72,5
houston,noun,25,7
howard,noun,32,6
cox,noun,5,3
argued,verb,29,6
complained,verb,22,10
enough,adjective,178,6
introduced,verb,52,10
senators,noun,10,8
parkhouse,noun,5,9
dallas,noun,58,6
authorizing,verb,5,11
schools,noun,195,7
deaf,adjective,12,4
designed,verb,108,8
special,adjective,250,7
schooling,noun,5,9
students,noun,213,8
scholastic,adjective,9,10
reduced,verb,79,7
debate,noun,32,6
authorize,verb,5,9
agency,noun,56,6
establish,verb,58,9
population,noun,136,10
require,verb,86,7
children,noun,355,8
between,function,729,7
attend,verb,54,6
permitting,verb,9,10
older,adjective,93,5
residential,adjective,45,11
budget,noun,59,6
harris,noun,28,6
el,noun,18,2
paso,noun,10,4
savings,noun,23,7
capital,noun,85,7
absorbed,verb,24,8
tea,noun,29,3
estimated,verb,67,9
saving,verb,21,6
coming,verb,174,6
live,verb,177,4
get,verb,749,3
hear,verb,153,4
horse,noun,117,5
red,noun,197,3
joe,noun,55,3
expects,verb,22,7
tell,verb,268,4
folks,noun,18,5
thinks,verb,23,6
pro,adjective,14,3
letters,noun,115,7
betting,noun,5,7
believe,verb,200,7
people,noun,847,6
informed,verb,57,8
question,noun,257,8
most,adjective,478,4
oppose,verb,15,6
willing,adjective,69,7
stake,verb,20,5
my,function,1318,2
san,noun,70,3
antonio,noun,6,7
ponies,noun,6,6
heard,verb,247,5
option,noun,5,6
proposal,noun,41,8
favorable,adjective,33,9
although,function,321,8
faces,verb,72,5
hard,adjective,141,4
sent,verb,145,4
extending,verb,29,9
planning,verb,129,8
cities,noun,107,6
whipped,verb,12,7
meager,adjective,6,6
fare,noun,7,4
bills,noun,47,5
committees,noun,18,10
passing,verb,65,7
calendar,noun,28,8
acts,noun,39,4
districts,noun,38,9
another,function,684,7
enlarged,verb,7,8
navigation,noun,6,10
district,noun,135,8
third,adjective,185,5
amended,verb,14,7
creation,noun,46,8
adopted,verb,45,7
without,function,583,7
dissent,noun,5,7
schwartz,noun,6,8
retarded,verb,7,8
gulf,noun,22,4
coast,noun,61,5
meantime,noun,9,8
accept,verb,72,6
gifts,noun,11,5
site,noun,64,4
revision,noun,8,8
louis,noun,73,5
retailers,noun,5,9
group,noun,390,5
miscellaneous,adjective,10,13
taxes,noun,45,5
eliminating,verb,15,11
requirement,noun,27,11
return,noun,180,6
certificate,noun,7,11
violation,noun,17,9
penalty,noun,14,7
plus,function,69,4
fine,noun,156,4
series,noun,130,6
league,noun,69,6
paris,noun,67,5
relieve,verb,13,7
real,adjective,241,4
estate,noun,51,6
own,adjective,772,3
annual,adjective,93,6
licensing,verb,6,9
fee,noun,16,3
license,noun,36,7
natural,adjective,156,7
gas,noun,99,3
utility,noun,29,7
right,noun,407,5
eminent,adjective,9,7
domain,noun,9,6
frank,noun,68,5
owen,noun,25,4
acquire,verb,27,7
sites,noun,16,5
underground,adjective,15,11
storage,noun,41,7
marshall,noun,27,8
commission,noun,103,10
suggested,verb,105,9
fill,verb,50,4
need,noun,360,4
costly,adjective,16,6
elections,noun,51,9
selected,verb,74,8
composed,verb,40,8
lieutenant,noun,29,10
chief,adjective,119,5
justice,noun,114,7
supreme,adjective,51,7
representatives,noun,41,15
decided,verb,141,7
taking,verb,174,6
poll,noun,9,4
kind,noun,313,4
texans,noun,9,6
prefer,verb,27,6
adverse,adjective,11,7
kept,verb,186,4
affairs,noun,84,7
april,noun,71,5
senator,noun,40,7
roberts,noun,37,7
idea,noun,194,4
further,adjective,114,7
delay,noun,21,5
kill,verb,63,4
west,adjective,235,4
texan,noun,5,5
reported,verb,119,8
gotten,verb,16,6
final,adjective,156,5
legislative,adjective,40,11
printed,verb,36,7
opponents,noun,13,9
information,noun,269,11
proposals,noun,29,9
intelligent,adjective,26,11
choice,noun,113,6
except,function,174,6
absent,adjective,28,6
paradise,noun,12,8
lost,verb,173,4
alleged,verb,10,7
water,noun,445,5
needs,noun,152,5
big,adjective,360,3
insisted,verb,43,8
development,noun,333,11
effort,noun,145,6
fort,noun,55,4
cover,verb,88,5
places,noun,100,6
wise,noun,36,4
hamlet,noun,7,6
shouting,noun,32,8
ended,verb,60,5
sending,verb,34,7
sponsored,verb,30,9
maximum,adjective,79,7
loan,noun,46,4
could,verb,1601,5
project,noun,93,7
construed,verb,6,9
large,adjective,356,5
felt,verb,357,4
better,verb,244,6
spent,verb,104,5
providing,verb,59,9
statements,noun,68,10
paying,verb,26,6
benefit,verb,63,7
pending,adjective,14,7
sway,verb,5,4
attack,noun,104,6
defenders,noun,6,9
de,noun,55,2
la,noun,18,2
mission,noun,78,7
collins,noun,6,7
newton,noun,6,6
chapman,noun,6,7
springs,noun,21,7
poor,adjective,113,4
peanut,noun,6,6
serving,verb,38,7
reducing,verb,31,8
learning,verb,60,8
educational,adjective,70,11
methods,noun,142,7
teaches,verb,11,7
history,noun,286,7
semester,noun,10,8
hours,noun,174,5
teaching,verb,67,8
required,verb,182,8
junior,adjective,75,6
senior,adjective,34,6
high,adjective,463,4
normal,adjective,133,6
college,noun,267,7
teachers,noun,69,8
least,adjective,326,5
credit,verb,64,6
subject,noun,161,7
remainder,noun,19,9
subjects,noun,81,8
person,noun,174,6
degree,noun,125,6
physics,noun,22,7
chemistry,noun,16,9
english,noun,195,7
permitted,verb,57,9
teach,verb,41,5
joined,verb,56,6
named,verb,84,5
clarence,noun,8,8
clark,noun,35,5
hays,noun,6,4
president,noun,382,9
succeed,verb,15,7
retire,verb,9,6
close,noun,135,5
holds,verb,42,5
earned,verb,18,6
university,noun,214,10
oklahoma,noun,13,8
master,noun,72,6
science,noun,131,7
bachelor,noun,6,8
addition,noun,142,8
rhode,noun,105,5
island,noun,167,6
massachusetts,noun,50,13
institute,noun,50,9
technology,noun,43,10
captain,noun,85,7
basketball,noun,9,10
team,noun,83,4
football,noun,36,8
served,verb,119,6
athletic,adjective,18,8
instructor,noun,8,10
associate,adjective,21,9
professor,noun,57,9
border,noun,20,6
patrolman,noun,12,9
signal,noun,63,6
corps,noun,103,5
army,noun,132,4
independent,adjective,70,11
upon,function,451,4
recommendation,noun,24,14
chester,noun,10,7
racial,adjective,25,6
discrimination,noun,23,14
employment,noun,47,10
called,verb,401,6
yesterday,noun,83,9
ribbon,noun,12,6
dependent,adjective,40,9
adc,noun,8,3
cook,noun,47,4
york,noun,302,4
consulting,verb,13,10
firm,noun,109,4
range,noun,157,5
soaring,verb,5,7
case,noun,362,4
load,noun,45,4
serious,adjective,116,7
causes,noun,58,6
family,noun,331,6
breakdown,noun,13,9
solve,verb,20,5
monthly,adjective,20,7
recipients,noun,5,10
martin,noun,55,6
problems,noun,247,8
forced,verb,81,6
depend,verb,45,6
subsistence,noun,10,11
volume,noun,135,6
cases,noun,148,5
decrease,verb,15,8
community,noun,231,9
able,adjective,216,4
deal,verb,143,4
limited,verb,106,7
skills,noun,37,6
color,noun,140,5
underlying,verb,20,10
extension,noun,36,9
living,verb,194,6
relatives,noun,22,9
parents,noun,91,7
preserving,verb,10,10
unity,noun,71,5
projects,noun,68,8
prevention,noun,27,10
defendants,noun,10,10
trial,noun,134,5
indicating,verb,16,10
guilt,noun,33,5
arrest,noun,19,6
parsons,noun,5,7
criminal,adjective,24,8
bellows,noun,8,7
